customer_id,name,email,address,phone,payment_method,order_id,order_details,quantity,total_amount,product_id,product_name,category,description
a8ec4301-a066-4521-a4fc-f62f1e672313,Brett Smith,mariah16@smith-byrd.org,"Unit 6133 Box 2335, DPO AP 11519",001-496-122-3184,Bank Transfer,4e1e9258-7118-47f7-acf9-10aad4303443,Right again sport feeling hot middle.,5,296.17,d24a8810-34ea-4205-bf66-66ef068d36af,Former,Electronics,Company marriage imagine various within somebody expert soldier remain.
3b91bfdc-5b2a-4ff7-aea6-2bda13cdd124,Kimberly Wu,wreyes@yahoo.com,"225 Kathleen Mission, East Robertport, LA 89904",(359)890-7758,PayPal,2bb11bc4-91fc-4b05-9221-c42a0c506afa,Born question down hundred stuff live.,3,335.93,5b9a7a49-c659-4613-b08d-89c5c4dfcd08,Oil,Clothing,Necessary character huge direction keep professional.
f6601bb8-4865-4112-af82-a08442de51d9,Nicholas Hopkins,scottroberts@tucker.com,"9863 Dylan Ports, Lake Emily, AZ 49910",157.191.7136,Cash on Delivery,775e4935-7a75-4421-a740-4cb954dbd035,Head yeah factor anything method sing.,2,144.55,030e45ac-dcff-420d-9e33-5f2d625c4e3e,Social,Books,Executive movement voice every smile tough study move offer president.
eb771927-7c93-4858-9e46-6b160b850e38,Matthew Miles,williamsjoseph@floyd.info,"8395 Paul Trafficway, Katherineport, NC 78945",297-504-0455x53846,Cash on Delivery,ec984564-04c1-4f0f-bb8b-d40bb4668751,Rather class agree defense generation.,5,201.67,21fcb89b-f719-4fd1-9968-9d04d10c161e,Kitchen,Beauty & Health,Series above conference model chair event shoulder watch work religious.
3ed4f2d2-3a55-45a7-8c61-746000bbafb2,Amber Harris,danielwolfe@gmail.com,"58874 Christina Inlet, Barnesfurt, NM 85070",(037)908-0723x6331,Bank Transfer,7fe047d9-4a63-45bc-a60e-a0132d45fa5e,Send any again meeting.,9,32.93,0a5b4bab-2ae5-4815-80fe-18b22d290e47,Amount,Home & Kitchen,Space official protect minute week fire game land it.
8f6e6b51-1579-44d6-ab08-be5280da68f9,Michelle Reed,carpenterbonnie@trujillo.org,"PSC 9828, Box 2168, APO AA 97183",+1-382-349-9363x66521,Cash on Delivery,79f42381-2853-4330-86b2-ec33945f87c1,Long by use strategy pay.,10,334.5,e5b84677-16a3-46f5-a8a9-29e13d85bb85,Office,Books,Writer wrong student step public nice herself much vote theory.
7c31a813-d9c1-497b-b7b6-e07eafaad2db,Carol Summers,allisonyoung@aguirre-bautista.com,"424 Smith Curve, Greenstad, FL 44260",(013)143-3300x4051,Cash on Delivery,292e5293-9025-4685-b290-f8ef080386cd,Could wife ago.,4,415.25,03164170-2c8a-4649-a5a7-180d120b5efe,Memory,Beauty & Health,Well help blood instead reflect account Republican mean.
3e6d9c57-d216-4a39-8961-420470193779,Melissa Gonzales,nathan29@romero-washington.com,"78289 Carlos Spur Apt. 940, Joshuaberg, UT 61300",5356790439,Credit Card,55b75f31-1ed8-4039-847a-dd1a532e52c4,Car challenge order.,8,34.54,e4dacdb0-4cc9-41a4-bad4-ac4bb7b742b0,Develop,Clothing,Perhaps add bed like race explain social use hold husband.
5288aea0-4b09-4bb6-8dee-325a3b043f46,Kristina Mcpherson,larry80@jones.biz,"042 Amy Roads Apt. 874, North Cynthiaville, MO 92989",336-165-5921,Cash on Delivery,74463028-4b57-48a7-b393-fcb2b7753f0d,Second voice thousand.,2,107.78,d0fbe28b-a735-4021-88d4-bb867a1ac555,Ask,Home & Kitchen,Notice that finish finish cover radio.
0ac7ccb9-a03c-47f1-9518-8461102c978e,Robert Lopez,jeffrey92@gmail.com,"842 Justin Villages, New Robert, IN 76960",4658956154,Credit Card,cf9fb28e-9802-4c93-bb8d-998fd9f19dfc,Popular decision draw interest culture kid.,7,370.26,33bef92b-8c9d-4f12-ab4b-d32b5358c8b8,Task,Home & Kitchen,Nature involve century feel decade wish.
381c3cc1-9ace-45a8-b1a9-0c92a4fc4ac1,Benjamin Kennedy,ilang@gmail.com,"05234 Danielle Overpass Suite 672, Carpenterton, TN 06159",916-783-8460,Cash on Delivery,62c51d9d-3df5-4490-bddf-2954f33269f3,Either office goal unit.,1,171.31,c95ead46-3750-4009-bc0d-07ba63eebf2c,Cut,Clothing,Task blue cut six break.
8e2bf36b-80d9-449b-9846-78833de902a4,Angie Gilmore,adrian27@patterson.com,"314 Martinez Vista, Hesterside, AK 10394",328-684-2846,Bank Transfer,21380bf1-340f-4f70-9b4c-70463094811a,Magazine way thousand.,10,255.66,a4dbda50-76d5-456c-a1d1-e26439aa9dc4,Kind,Clothing,Standard thank stage idea young between recent police.
4b1bd493-2410-48f2-b547-2457a6697202,Sylvia Coleman,michaelwilliams@gmail.com,"PSC 3039, Box 1847, APO AA 70077",001-262-179-4144x425,Credit Card,a1bed624-d0a4-49a1-a5ce-1d24f24cff18,Statement bag question appear.,2,375.7,3c8a731a-342b-4512-a019-8372e6c22d18,Discussion,Beauty & Health,Green model able behavior occur bar rate can between.
290c2fa0-9396-4936-9736-3708022a2650,Bryan Thornton,debracarter@mccarthy-arnold.info,"160 Teresa Curve Suite 982, South Tracymouth, NM 22558",543-351-6608x39846,PayPal,957fa2bf-f60c-4aad-bef1-4aaa1ea48903,Involve friend watch draw establish.,2,122.91,215b70f2-388e-40ac-a75e-45115d19b31e,Professor,Home & Kitchen,He rather represent continue less art window study.
1adb2373-e401-40f3-8b92-116b58702b39,Sergio Santos,scottanderson@guzman.com,"21673 Mary Estates, Lake Steven, AZ 54404",817.181.0910x64066,Bank Transfer,d15d3eb5-e896-4f21-a6fa-1b368cf81201,Which approach order recently one.,10,58.81,30ba6e97-5abe-4034-8384-ac16f935862a,Republican,Home & Kitchen,Change evening why test could door within author exist both.
43e65a61-439f-4945-81f0-6b69b374091e,Makayla Meadows,cunninghamrobert@murphy.com,"125 Hoffman Lodge Apt. 231, South Jeremiah, NV 52268",254-699-2007x8338,PayPal,05f8b035-80a7-4b16-b35c-6c179d8a608f,Pay image say picture fine Mrs.,6,164.7,583ac765-af05-43b0-a743-6315ceb30cd2,Tell,Electronics,Matter start stage poor tax bit bag perform analysis.
91d04564-53fa-4f55-8366-48738193bd55,Valerie Smith,mrodriguez@hotmail.com,"PSC 9117, Box 6224, APO AE 14647",136-733-1890x846,Cash on Delivery,52146f98-5881-41ca-aa23-d5a55bd7dbfd,Seven job pull executive probably.,1,52.91,c0a89831-b02e-40ec-a425-ccfe259cf314,Apply,Beauty & Health,Possible take anyone change how change though.
ee838a57-a897-4802-882e-b700dc9d9791,Cynthia Morales,fieldsdonald@hotmail.com,"08086 Bates Brooks Suite 165, North Amy, ID 51963",+1-292-876-0183,Credit Card,fadad778-0a49-42ed-b4c4-9b1d10826ec1,Support civil pass have.,4,283.11,f061e771-a7b9-4f3e-8167-77ae5acccae5,Or,Electronics,Worry lead worker economy property.
ba520730-0add-43f2-80f6-6a584473a58b,Melvin Hawkins,pwilliams@lucas-brock.com,"5804 Carolyn Course, Lake Erictown, TN 78219",794-067-1437,Credit Card,66c1ab69-5ddb-4d4e-abeb-ae790f7be20a,Compare do of picture.,3,170.74,3a2ba8db-3fb8-46d4-b52a-90ea1100b9ba,Sell,Electronics,Have term near same senior into.
999f34bb-46c8-4490-b89e-05d4029d9a2c,Theresa Hughes,christopher64@evans.info,"99553 Nicholas Spur, Lake Andreastad, MA 80505",(436)799-6263,Bank Transfer,dc04ac4a-bcfb-4223-b2db-9272cb7c389d,Son never fact.,3,450.88,76566515-31fd-4710-8167-0cb52c3b0a41,Its,Home & Kitchen,Race hold can reduce event important agent page beat.
99a5cc0c-0c79-489f-8c4a-84edcafa3802,Peter Gentry,wbest@gmail.com,"1877 Amanda Harbor Apt. 977, Port Joseph, NC 66915",001-408-804-0945,PayPal,f847b455-2933-4bb1-9647-6272b9c8c6d4,Yeah safe happy couple occur TV.,3,245.33,52d81dfc-a08f-467c-b716-852674099315,Dog,Home & Kitchen,Thus serve during risk.
a11363b3-6b0a-4e72-b5c0-57357e6875cf,Carolyn Santiago,amunoz@rush.biz,"834 Martin Mountain Suite 246, Bryantton, NJ 29822",033.146.6202,Credit Card,68375ed7-0842-4121-869b-298eecad55e0,Involve low they somebody.,2,83.07,109d4fb1-fc80-47e9-b666-cc2d38bf5448,Certain,Clothing,Who assume yourself she member one laugh part.
7143fe43-c45e-4e70-b12d-767074547e7b,Dana Owen DDS,aarondunn@johnston-rodgers.net,"1675 Ryan Vista Suite 114, Barbarachester, MI 72782",(588)206-7448x13297,Cash on Delivery,bd554804-194d-45b1-a888-eed9e57c6a47,Here score father.,2,63.88,a05db78e-8de2-43cc-a31d-939d4e424bd5,Painting,Home & Kitchen,Thousand glass to wall environment nothing student can artist.
0c52412f-00ef-43ec-aa4b-e2dcf7b9c002,Maria Hayes,rcooper@malone-bell.com,"9679 Joseph Rest, West Megan, WA 67639",+1-513-560-4120,Credit Card,600d278d-b093-48f5-a057-84b8ae2b9be8,Maybe already act such.,1,372.11,3964ef54-cf8f-4573-8f69-1cfa523f2cef,Stage,Books,Senior paper southern entire throw town position chance.
52f48521-e40f-4dc1-9380-2051d5227fb4,Steven Martin,rstewart@hotmail.com,"700 Brian Vista Apt. 830, Mathewston, SC 92353",201.080.7784x985,Cash on Delivery,4e9d3354-9fa0-4071-aa58-ef4899c69409,Same his military well shoulder skin.,7,221.32,1b7cc487-eb6e-4c2b-b165-77491bc8384b,Per,Home & Kitchen,Certain market where threat head forget.
0be9f383-b581-46fe-9ecc-25d140eddddd,Juan Bowman,mitchell14@foster-reed.info,"3062 Collin Squares, East Dustinhaven, AK 63434",330-664-0287x27701,Cash on Delivery,4e457336-4451-44e7-b98a-7025e948cb25,Suffer drive form note with cultural.,7,243.31,cbaa24f5-c2ce-4ef3-b0d1-7e237303eb6c,Ability,Electronics,Realize quickly study above less.
3c6fff44-9586-4307-b88a-620eabe1ed51,Teresa Hall,hendersonbrian@barrett.com,"43038 Joseph Trafficway, Lucasmouth, ID 51829",001-512-187-0821x96145,Cash on Delivery,7b818745-da34-4087-9a19-474258911e8b,Option daughter out.,3,165.75,ae9a281a-6d50-43df-ae91-ecd6a9e768ef,Over,Beauty & Health,Need understand always remember employee decision green how.
13506819-a880-4d89-8f07-41d0070cc388,Andre Harris,egomez@ross.com,"23004 Kyle Road Apt. 103, North Savannahchester, MN 38131",(380)526-3534,Cash on Delivery,4dd8690e-17ec-443f-a4ca-591e55815b52,South firm career forward.,2,478.96,bee720af-b60d-47e2-b482-196466b4af90,Strong,Electronics,Young focus remain project man medical culture.
e22f1ecb-dd7e-4cc9-a83e-e5872e6703e7,Jonathan Houston,oallen@allen-garcia.com,"Unit 3595 Box 7816, DPO AE 68647",+1-322-788-7219x10397,Credit Card,537b6284-4bb6-4ca5-9dfb-3573c70dbc58,Others agency impact.,7,15.14,895c5e98-dfa8-4fd1-bc19-86b183ef037f,Loss,Beauty & Health,Discover book name ready style stand.
